Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
220319_C3H_Ku_67_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_67_e2_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_67_e4_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220319_C3H_Ku_67_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_67_e8_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220319_C3H_Ku_71_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_71_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_71_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_71_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_74_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_74_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_74_e4_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220319_C3H_Ku_74_e5_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220319_C3H_Ku_74_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220319_C3H_Ku_74_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220408_BL6_Ku_37_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220408_BL6_Ku_37_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220408_BL6_Ku_37_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220408_BL6_Ku_37_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e1_het,HET,C57BL6,Y,N,N,Y,Y,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e3_wt,WT,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e4_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
220409_BL6_Ku_33_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220409_BL6_Ku_33_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_47_e9_wt,WT,C57BL6,Y,N,Left,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e1_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e5_het,HET,C57BL6,N,Y,Right,N,N,N,Y,N,Y,N,N,N,2
220422_BL6_Ku_50_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220422_BL6_Ku_50_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220510_F1_Ku_116_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220510_F1_Ku_116_e2_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220510_F1_Ku_116_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220510_F1_Ku_116_e4_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220510_F1_Ku_116_e6_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220518_F1_Ku_107_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220518_F1_Ku_107_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220527_F1_Ku_97_e1_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220527_F1_Ku_97_e2_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220601_F1_Ku_33_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e2_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e4_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e6_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e7_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220601_F1_Ku_33_e8_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e10_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220616_BL6_Ku_29446_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220616_BL6_Ku_29447_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e4_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_152_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_152_e2_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220704_F1_Ku_152_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e3_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e4_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e6_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_71_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_71_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_71_e3_het,HET,F1,N,N,N,N,Y,N,N,N,N,N,N,N,2
220814_F1_Ku_68_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_68_e2_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_68_e3_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220814_F1_Ku_68_e4_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e2_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220814_F1_Ku_72_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e4_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
